Cost,Min Cost,Moves,Temperature,Time,Accepted,Sequence
39,39,0,270.0,599990,0,"[0, 1, 2, 3, 6, 5, 4, 7, 8, 9]"

45,27,100000,267.57969735398603,599802,39282,"[0, 3, 8, 6, 1, 7, 2, 9, 4, 5]"

41,27,200000,264.91590941338774,599671,39303,"[7, 0, 4, 6, 9, 1, 5, 8, 2, 3]"

38,27,300000,262.2786398008339,599551,39231,"[3, 0, 8, 2, 4, 7, 1, 9, 6, 5]"

41,27,400000,259.6676245231923,599483,39368,"[2, 0, 8, 9, 7, 3, 1, 6, 5, 4]"

42,27,500000,257.08260221541383,599417,39314,"[0, 9, 1, 4, 3, 6, 7, 5, 2, 8]"

45,27,600000,254.52331411436973,599347,39516,"[2, 1, 7, 4, 0, 6, 9, 5, 3, 8]"

43,27,700000,251.98950403294933,599281,39357,"[1, 7, 6, 4, 9, 3, 5, 8, 2, 0]"

44,27,800000,249.48091833441518,599205,39367,"[9, 0, 1, 5, 6, 8, 3, 7, 4, 2]"

41,27,900000,246.997305907014,599129,39493,"[8, 2, 1, 6, 5, 4, 9, 7, 0, 3]"

42,27,1000000,244.53841813884026,599052,39268,"[1, 2, 4, 6, 0, 3, 7, 9, 8, 5]"

40,27,1100000,242.10400889294942,598985,39387,"[6, 5, 0, 9, 1, 8, 2, 4, 7, 3]"

45,27,1200000,239.69383448271995,598921,39391,"[5, 3, 8, 6, 2, 7, 9, 1, 4, 0]"

38,26,1300000,237.3076536474597,598851,39321,"[1, 6, 9, 4, 7, 2, 8, 3, 0, 5]"

37,26,1400000,234.94522752825566,598780,39191,"[0, 6, 8, 7, 4, 5, 2, 1, 9, 3]"

41,26,1500000,232.6063196440639,598715,39424,"[7, 2, 4, 9, 0, 8, 3, 1, 6, 5]"

45,26,1600000,230.2906958680376,598652,39214,"[6, 7, 9, 0, 2, 1, 5, 4, 3, 8]"

42,26,1700000,227.99812440409085,598589,39356,"[0, 2, 9, 3, 5, 6, 1, 4, 8, 7]"

42,26,1800000,225.7283757636954,598527,39340,"[7, 1, 2, 3, 6, 9, 4, 5, 0, 8]"

44,26,1900000,223.4812227429088,598463,39305,"[3, 9, 2, 6, 0, 4, 8, 7, 5, 1]"

42,26,2000000,221.25644039963117,598399,39334,"[9, 7, 8, 4, 6, 1, 5, 0, 3, 2]"

38,26,2100000,219.05380603108816,598334,39219,"[7, 5, 1, 2, 6, 9, 0, 3, 8, 4]"

45,26,2200000,216.87309915153807,598272,39289,"[6, 8, 9, 3, 1, 5, 4, 2, 0, 7]"

37,26,2300000,214.71410147020134,598205,39287,"[2, 0, 9, 3, 1, 6, 5, 4, 7, 8]"

43,26,2400000,212.5765968694092,598138,39578,"[1, 7, 5, 0, 3, 9, 4, 2, 6, 8]"

44,26,2500000,210.46037138297018,598075,39282,"[8, 5, 1, 0, 7, 3, 6, 9, 2, 4]"

39,26,2600000,208.3652131747518,598004,39245,"[5, 8, 3, 4, 0, 1, 2, 6, 9, 7]"

43,26,2700000,206.29091251747576,597934,39155,"[5, 4, 3, 1, 7, 9, 6, 2, 8, 0]"

46,26,2800000,204.23726177172392,597867,39238,"[5, 1, 8, 4, 2, 9, 3, 7, 0, 6]"

41,26,2900000,202.20405536515344,597792,39336,"[4, 5, 7, 3, 8, 0, 2, 6, 9, 1]"

41,26,3000000,200.1910897719186,597731,39273,"[7, 4, 9, 8, 6, 5, 3, 2, 0, 1]"

42,26,3100000,198.19816349229808,597670,39381,"[2, 3, 0, 6, 8, 4, 9, 1, 7, 5]"

44,26,3200000,196.22507703252435,597585,39331,"[9, 1, 7, 2, 4, 0, 8, 5, 3, 6]"

45,26,3300000,194.27163288481415,597526,39241,"[4, 1, 8, 0, 2, 3, 5, 7, 9, 6]"

47,26,3400000,192.337635507598,597467,39222,"[7, 8, 3, 6, 4, 1, 5, 0, 9, 2]"

43,26,3500000,190.4228913059461,597403,39225,"[7, 3, 8, 5, 0, 1, 4, 6, 9, 2]"

40,26,3600000,188.5272086121893,597341,39397,"[9, 8, 5, 0, 4, 6, 3, 7, 2, 1]"

43,26,3700000,186.65039766673317,597281,39369,"[7, 6, 4, 5, 0, 2, 3, 8, 9, 1]"

41,26,3800000,184.79227059906268,597217,39180,"[0, 3, 5, 1, 9, 7, 8, 4, 6, 2]"

41,26,3900000,182.95264140893633,597156,39223,"[2, 5, 6, 0, 8, 7, 1, 9, 3, 4]"

40,26,4000000,181.13132594776738,597096,39287,"[4, 2, 0, 8, 5, 1, 6, 3, 9, 7]"

43,26,4100000,179.3281419001902,597034,39151,"[1, 9, 5, 6, 0, 8, 7, 2, 3, 4]"

42,26,4200000,177.54290876581052,596972,39106,"[4, 9, 6, 5, 2, 3, 7, 8, 1, 0]"

39,26,4300000,175.77544784113712,596908,39041,"[8, 7, 5, 0, 9, 3, 4, 6, 2, 1]"

50,26,4400000,174.02558220169342,596845,39244,"[3, 4, 5, 1, 7, 8, 6, 9, 0, 2]"

46,26,4500000,172.29313668430723,596785,39313,"[7, 6, 4, 5, 9, 2, 3, 8, 1, 0]"

38,26,4600000,170.5779378695767,596724,39341,"[5, 8, 1, 2, 3, 0, 7, 6, 4, 9]"

35,26,4700000,168.87981406451092,596663,39211,"[0, 3, 7, 4, 5, 8, 2, 1, 6, 9]"

43,26,4800000,167.1985952853433,596604,39314,"[1, 5, 6, 3, 9, 0, 8, 7, 2, 4]"

43,26,4900000,165.5341132405158,596542,39159,"[1, 6, 0, 8, 5, 9, 3, 4, 2, 7]"

44,26,5000000,163.88620131383334,596479,39243,"[6, 0, 8, 4, 9, 7, 2, 1, 5, 3]"

45,26,5100000,162.25469454778482,596419,39307,"[7, 9, 1, 4, 8, 2, 0, 6, 5, 3]"

44,26,5200000,160.63942962703098,596358,39163,"[5, 6, 0, 2, 4, 7, 1, 8, 3, 9]"

38,26,5300000,159.0402448620562,596296,39237,"[0, 4, 9, 3, 6, 7, 2, 1, 5, 8]"

42,26,5400000,157.45698017298344,596233,39208,"[2, 7, 4, 6, 0, 1, 8, 3, 9, 5]"

39,26,5500000,155.8894770735501,596169,39155,"[9, 1, 5, 3, 2, 7, 4, 6, 8, 0]"

39,26,5600000,154.33757865524322,596108,39205,"[5, 4, 8, 0, 3, 9, 2, 6, 1, 7]"

47,26,5700000,152.80112957159287,596047,39118,"[3, 2, 6, 4, 1, 7, 5, 0, 9, 8]"

39,26,5800000,151.2799760226219,595985,39113,"[5, 8, 6, 3, 9, 7, 2, 1, 4, 0]"

42,26,5900000,149.77396573945023,595923,39029,"[2, 0, 7, 3, 9, 8, 4, 6, 1, 5]"

41,26,6000000,148.28294796905288,595863,39099,"[5, 8, 3, 2, 4, 7, 1, 6, 9, 0]"

41,26,6100000,146.8067734591693,595802,39056,"[6, 2, 4, 9, 5, 8, 0, 3, 1, 7]"

48,26,6200000,145.34529444336295,595735,39176,"[8, 7, 6, 0, 9, 1, 5, 3, 2, 4]"

43,26,6300000,143.89836462622984,595672,39072,"[0, 8, 4, 2, 7, 9, 1, 5, 3, 6]"

44,26,6400000,142.46583916875437,595611,39034,"[6, 1, 9, 0, 2, 7, 8, 4, 5, 3]"

39,26,6500000,141.0475746738107,595549,39022,"[8, 5, 2, 4, 3, 0, 1, 9, 7, 6]"

47,26,6600000,139.64342917180838,595472,39111,"[8, 7, 1, 4, 3, 6, 2, 9, 0, 5]"

36,26,6700000,138.2532621064815,595410,39213,"[3, 1, 2, 7, 4, 0, 8, 9, 5, 6]"

47,26,6800000,136.87693432081838,595344,39077,"[3, 7, 1, 5, 2, 4, 8, 6, 9, 0]"

42,26,6900000,135.51430804313222,595275,39179,"[2, 1, 6, 3, 8, 7, 9, 4, 0, 5]"

46,26,7000000,134.16524687326972,595213,39158,"[5, 0, 6, 4, 1, 8, 3, 9, 7, 2]"

48,26,7100000,132.82961576895764,595152,39019,"[1, 4, 6, 9, 8, 7, 0, 2, 5, 3]"

42,26,7200000,131.50728103228457,595090,38977,"[5, 0, 1, 3, 7, 8, 2, 9, 4, 6]"

45,26,7300000,130.19811029631785,595030,39083,"[7, 1, 0, 5, 6, 2, 8, 3, 4, 9]"

31,26,7400000,128.90197251185361,594969,39264,"[7, 4, 8, 6, 9, 1, 3, 0, 2, 5]"

38,26,7500000,127.6187379342984,594907,38870,"[9, 2, 7, 5, 6, 8, 4, 0, 3, 1]"

36,26,7600000,126.34827811068169,594847,39267,"[1, 3, 0, 6, 5, 7, 4, 8, 2, 9]"

32,26,7700000,125.09046586679781,594786,39203,"[8, 5, 9, 7, 4, 6, 2, 1, 3, 0]"

35,26,7800000,123.84517529447542,594725,39095,"[1, 9, 4, 7, 2, 6, 8, 5, 3, 0]"

41,26,7900000,122.6122817389742,594662,38886,"[0, 4, 2, 6, 3, 1, 8, 5, 7, 9]"

44,26,8000000,121.39166178650662,594600,38969,"[9, 8, 3, 0, 7, 5, 1, 2, 4, 6]"

45,26,8100000,120.1831932518842,594538,39123,"[2, 6, 9, 8, 7, 3, 0, 5, 1, 4]"

44,26,8200000,118.98675516628673,594476,39114,"[4, 3, 2, 1, 5, 0, 6, 7, 9, 8]"

44,26,8300000,117.80222776515298,594415,39029,"[5, 8, 2, 4, 6, 3, 7, 9, 0, 1]"

31,26,8400000,116.62949247619237,594353,39066,"[5, 6, 3, 9, 1, 2, 0, 7, 4, 8]"

38,26,8500000,115.4684319075156,594292,39046,"[9, 1, 3, 0, 7, 5, 2, 4, 8, 6]"

33,26,8600000,114.31892983588374,594229,38936,"[4, 8, 5, 7, 2, 0, 3, 1, 9, 6]"

39,26,8700000,113.18087119507412,594167,38997,"[7, 1, 0, 3, 4, 8, 5, 2, 9, 6]"

39,26,8800000,112.05414206436211,594106,38952,"[4, 9, 3, 0, 8, 7, 2, 6, 5, 1]"

43,26,8900000,110.93862965711747,594046,39051,"[1, 2, 4, 6, 3, 5, 8, 9, 0, 7]"

44,26,9000000,109.83422230951449,593982,39091,"[4, 8, 1, 6, 0, 9, 2, 5, 3, 7]"

45,26,9100000,108.74080946935415,593918,39041,"[7, 6, 4, 2, 0, 8, 1, 9, 5, 3]"

45,26,9200000,107.65828168499779,593857,38995,"[7, 1, 0, 2, 6, 8, 4, 5, 3, 9]"

44,26,9300000,106.58653059441096,593793,38884,"[3, 7, 6, 0, 4, 1, 9, 8, 5, 2]"

43,26,9400000,105.52544891431624,593730,39262,"[7, 3, 0, 4, 5, 1, 9, 8, 6, 2]"

36,26,9500000,104.4749304294541,593669,38978,"[5, 2, 7, 4, 8, 3, 0, 6, 1, 9]"

40,26,9600000,103.43486998195067,593609,38960,"[6, 9, 0, 8, 3, 5, 7, 4, 1, 2]"

47,26,9700000,102.40516346079124,593547,38981,"[6, 1, 7, 5, 3, 0, 4, 2, 9, 8]"

39,26,9800000,101.38570779139877,593485,38904,"[6, 4, 0, 8, 2, 5, 1, 3, 9, 7]"

43,26,9900000,100.37640092531595,593423,39025,"[4, 5, 7, 9, 8, 2, 1, 6, 0, 3]"

35,26,10000000,99.3771418299901,593362,39034,"[7, 0, 5, 8, 4, 6, 9, 2, 1, 3]"

38,26,10100000,98.3878304786597,593300,39172,"[3, 2, 8, 0, 7, 4, 6, 5, 1, 9]"

43,26,10200000,97.40836784034164,593237,38797,"[5, 1, 6, 3, 0, 4, 9, 2, 7, 8]"

40,26,10300000,96.43865586991812,593174,39064,"[9, 1, 4, 7, 8, 0, 5, 3, 6, 2]"

37,26,10400000,95.4785974983222,593113,38720,"[4, 9, 1, 7, 6, 5, 8, 0, 3, 2]"

41,26,10500000,94.52809662282118,593053,38890,"[3, 0, 6, 4, 7, 9, 5, 1, 2, 8]"

43,26,10600000,93.5870580973965,592985,38843,"[7, 0, 4, 3, 8, 1, 2, 6, 9, 5]"

42,26,10700000,92.65538772321966,592915,38886,"[7, 6, 5, 4, 1, 9, 2, 3, 8, 0]"

35,26,10800000,91.73299223922278,592852,38940,"[1, 8, 5, 6, 9, 0, 3, 2, 7, 4]"

47,26,10900000,90.81977931276307,592788,38932,"[9, 5, 1, 7, 6, 8, 2, 0, 3, 4]"

44,26,11000000,89.91565753038027,592723,38855,"[5, 8, 3, 6, 9, 1, 7, 0, 4, 2]"

43,26,11100000,89.0205363886461,592655,38828,"[2, 6, 7, 3, 1, 4, 0, 9, 5, 8]"

40,26,11200000,88.13432628510463,592586,39055,"[1, 0, 3, 9, 4, 6, 8, 2, 7, 5]"

48,26,11300000,87.25693850930327,592520,38890,"[2, 7, 1, 4, 0, 5, 6, 3, 8, 9]"

37,26,11400000,86.38828523391251,592457,38969,"[4, 8, 5, 1, 9, 2, 3, 0, 7, 6]"

43,26,11500000,85.52827950593446,592393,39067,"[8, 2, 9, 7, 6, 4, 0, 5, 3, 1]"

37,26,11600000,84.67683523799876,592328,39049,"[3, 2, 1, 9, 6, 0, 4, 8, 5, 7]"

48,26,11700000,83.83386719974507,592266,38999,"[9, 6, 4, 0, 7, 8, 1, 5, 3, 2]"

