Cost,Min Cost,Moves,Temperature,Time,Accepted,Sequence
31,31,0,270.0,599935,0,"[0, 1, 2, 3, 6, 5, 4, 7, 8, 9]"

26,16,100000,270.0,599569,39087,"[1, 3, 9, 0, 8, 6, 2, 5, 7, 4]"

35,16,200000,269.73,599325,38950,"[9, 5, 4, 8, 0, 7, 6, 1, 2, 3]"

27,16,300000,269.46027000000004,599141,39030,"[4, 7, 2, 3, 0, 6, 8, 5, 1, 9]"

38,16,400000,269.19080973,598952,38935,"[0, 8, 3, 9, 2, 6, 4, 1, 5, 7]"

28,16,500000,268.92161892027,598776,39069,"[2, 5, 1, 0, 4, 6, 7, 9, 3, 8]"

35,16,600000,268.65269730134975,598609,38973,"[4, 6, 3, 8, 5, 0, 1, 7, 2, 9]"

33,16,700000,268.38404460404837,598441,38840,"[8, 2, 4, 5, 6, 1, 0, 3, 7, 9]"

31,16,800000,268.11566055944434,598275,38895,"[6, 2, 7, 8, 0, 3, 1, 4, 5, 9]"

34,16,900000,267.8475448988849,598110,38904,"[1, 8, 9, 7, 5, 3, 6, 0, 2, 4]"

31,16,1000000,267.57969735398603,597946,38886,"[0, 2, 1, 7, 5, 8, 3, 4, 9, 6]"

31,16,1100000,267.31211765663204,597785,39022,"[8, 6, 1, 3, 9, 5, 7, 4, 0, 2]"

28,16,1200000,267.0448055389754,597624,38958,"[3, 8, 0, 4, 6, 9, 1, 5, 2, 7]"

36,16,1300000,266.7777607334364,597451,38926,"[4, 5, 3, 9, 8, 0, 6, 1, 2, 7]"

35,16,1400000,266.510982972703,597291,39238,"[1, 7, 5, 0, 8, 4, 6, 9, 2, 3]"

32,16,1500000,266.2444719897303,597115,38895,"[6, 9, 2, 1, 0, 4, 3, 5, 8, 7]"

31,16,1600000,265.97822751774055,596952,38913,"[1, 2, 8, 9, 4, 5, 3, 0, 7, 6]"

30,16,1700000,265.7122492902228,596789,38980,"[2, 4, 6, 1, 9, 5, 3, 0, 8, 7]"

34,16,1800000,265.4465370409326,596629,39010,"[8, 7, 1, 0, 5, 3, 2, 9, 6, 4]"

40,16,1900000,265.18109050389165,596470,39006,"[4, 7, 1, 5, 3, 8, 2, 9, 6, 0]"

28,16,2000000,264.91590941338774,596312,38901,"[5, 3, 6, 0, 8, 1, 2, 9, 7, 4]"

30,16,2100000,264.65099350397435,596155,38949,"[0, 2, 1, 6, 3, 7, 9, 4, 5, 8]"

36,16,2200000,264.3863425104704,595998,39102,"[5, 4, 6, 0, 9, 2, 3, 8, 1, 7]"

33,16,2300000,264.1219561679599,595817,38776,"[5, 1, 9, 3, 2, 4, 8, 0, 7, 6]"

30,16,2400000,263.85783421179195,595658,38954,"[6, 9, 0, 8, 2, 5, 4, 1, 3, 7]"

32,16,2500000,263.59397637758013,595500,38905,"[3, 6, 8, 4, 5, 1, 2, 9, 7, 0]"

31,16,2600000,263.33038240120254,595341,39145,"[0, 5, 6, 9, 8, 7, 4, 3, 1, 2]"

31,16,2700000,263.06705201880135,595189,39068,"[4, 7, 2, 9, 0, 6, 8, 1, 3, 5]"

33,16,2800000,262.80398496678254,595031,39054,"[4, 9, 1, 8, 5, 7, 2, 0, 6, 3]"

33,16,2900000,262.5411809818157,594875,39002,"[1, 8, 9, 6, 3, 7, 2, 4, 0, 5]"

33,16,3000000,262.2786398008339,594717,39065,"[6, 2, 4, 8, 9, 7, 1, 0, 3, 5]"

29,16,3100000,262.01636116103305,594563,39024,"[5, 1, 6, 2, 0, 8, 9, 7, 4, 3]"

26,16,3200000,261.754344799872,594404,38953,"[5, 3, 0, 8, 2, 1, 7, 6, 9, 4]"

30,16,3300000,261.4925904550721,594247,38990,"[7, 8, 4, 3, 6, 5, 2, 1, 9, 0]"

29,16,3400000,261.231097864617,594091,39084,"[2, 7, 9, 4, 3, 0, 6, 1, 8, 5]"

34,16,3500000,260.96986676675243,593934,38876,"[9, 8, 7, 0, 6, 3, 2, 5, 1, 4]"

37,16,3600000,260.7088968999857,593776,38903,"[0, 1, 6, 7, 5, 9, 2, 8, 4, 3]"

31,16,3700000,260.4481880030857,593621,39165,"[9, 0, 2, 8, 4, 5, 7, 3, 1, 6]"

32,16,3800000,260.18773981508264,593465,39004,"[5, 3, 9, 2, 6, 1, 4, 7, 0, 8]"

33,16,3900000,259.92755207526756,593304,39026,"[2, 5, 3, 1, 0, 6, 8, 7, 4, 9]"

35,16,4000000,259.6676245231923,593144,38969,"[3, 1, 7, 4, 9, 2, 8, 6, 0, 5]"

33,16,4100000,259.40795689866906,592990,39147,"[1, 8, 7, 4, 5, 9, 0, 3, 6, 2]"

26,16,4200000,259.1485489417704,592830,38902,"[1, 3, 9, 8, 2, 0, 6, 5, 7, 4]"

34,16,4300000,258.88940039282863,592676,38887,"[1, 2, 6, 0, 9, 5, 4, 3, 7, 8]"

33,16,4400000,258.6305109924358,592518,38945,"[7, 6, 3, 8, 9, 1, 4, 5, 0, 2]"

31,16,4500000,258.3718804814434,592361,38945,"[8, 0, 2, 3, 9, 4, 5, 6, 7, 1]"

32,16,4600000,258.11350860096195,592198,39055,"[8, 4, 1, 9, 0, 6, 5, 3, 2, 7]"

30,16,4700000,257.855395092361,592043,39012,"[5, 1, 9, 8, 0, 6, 2, 3, 7, 4]"

37,16,4800000,257.59753969726864,591886,38995,"[9, 2, 0, 5, 7, 1, 4, 3, 8, 6]"

33,16,4900000,257.3399421575714,591713,38918,"[1, 7, 4, 5, 0, 8, 3, 2, 6, 9]"

36,16,5000000,257.08260221541383,591527,39081,"[5, 1, 4, 9, 3, 6, 8, 7, 2, 0]"

20,16,5100000,256.8255196131984,591355,39000,"[9, 3, 7, 4, 8, 6, 2, 5, 1, 0]"

35,16,5200000,256.56869409358524,591158,38893,"[6, 7, 0, 2, 9, 1, 5, 4, 8, 3]"

37,16,5300000,256.31212539949166,590985,38858,"[8, 7, 3, 9, 5, 4, 6, 0, 1, 2]"

34,16,5400000,256.05581327409215,590812,38833,"[5, 9, 6, 4, 3, 2, 7, 0, 1, 8]"

35,16,5500000,255.79975746081806,590647,38989,"[3, 7, 5, 9, 4, 1, 2, 8, 0, 6]"

27,16,5600000,255.54395770335725,590483,39062,"[2, 5, 7, 8, 0, 9, 3, 1, 4, 6]"

29,16,5700000,255.28841374565388,590318,38874,"[5, 8, 6, 7, 2, 4, 0, 3, 9, 1]"

37,16,5800000,255.03312533190822,590155,38980,"[1, 2, 5, 4, 8, 6, 3, 7, 0, 9]"

