n,m,C,i,Best-1,Avg-1,T-1,Best-2, Avg-2, T-2,Best-3,Avg-3, T-3
10,10, 4,10,9.10,9.10, 0.08,9.10, 9.10 ,0.23,9.10,9.10,0.08
10,10 ,5,10,6.20,6.20 ,0.08,6.20 ,6.20 ,0.26,6.20,6.20,0.07
10,10, 6,10,4.30,4.30 ,0.06,4.30 ,4.30 ,0.29,4 .30,4.30,0.06
10,10, 7,10,3.10,3.10 ,0.04,3.10 ,3.10, 0.25,3.10,3.10,0.06
15,20, 6,10,20.60,20.63, 0.82,20.60, 20.70, 2.27,20.60,20.60,0.93
15,20, 8,10,13.70,13.70 ,1.06,13.70 ,13.70 ,1.55,13.70,13.70,0.82
15,20, 10,10,10.10,10.10 ,0.84,10.10, 10.10 ,1.07,10.10,10.10,0.73
15,20, 12,10,7.60,7.60 ,0.58,7.60, 7.60 ,0.64,7.60,7.60,0.64
30,40, 15,10,91.40,91.70, 84.21,91.30, 91.88, 184.54,91.10,91.10,75.85
30,40, 17,10,71.30,71.59, 128.05,71.20, 72.08, 254.18,71.20,71.20,66.94
30,40, 20,10,50.40,50.71, 168.27,50.40 ,51.36, 224.38,50.20,50.37,64.40
30,40, 25,10,27.90,28.14 ,142.41,27.70 ,28.64, 189.77,27.80,28.02,62.61
40,60, 20,10,178.40,179.00, 428.41,178.40, 180.92, 599.65,177.20,177.41,512.09
40,60, 22,10,151.50,152.04 ,645.19,151.30 ,154.00 ,792.20,150.50,150.67,490.88
40,60, 25,10,121.00,121.52, 985.88,120.90 ,123.90  ,979.43,120.20,120.44,478.33
40,60, 30,10,83.90,84.18 ,1440.42,83.90, 86.30 , 1388.76,83.20,83.44,408.90
