n,m,C,i,Best-1,Avg-1,T-1,Best-2,Avg-2,T-2,Best-3,Avg-3,T-3
20,15,5,10,21.10,21.58,11.84,20.90,20.90,1.35,20.90,20.90,2.59
20,15,10,20,8.20,8.44,13.55,8.20,8.21,2.13,8.20,8.20,1.83
20,20,5,10,24.30,24.93,16.29,24.20,24.24,1.80,24.20,24.20,3.23
20,20,10,10,10.60,10.76,17.66,10.60,10.60,2.79,10.60,10.60,2.52
20,20,15,30,6.67,6.79,27.08,6.67,6.67,3.22,6.67,6.67,2.27
20,25,5,10,30.10,30.74,21.04,30.10,30.10,2.04,30.10,30.11,3.99
20,25,10,10,15.40,15.47,23.60,15.40,15.40,3.62,15.40,15.40,3.37
20,25,15,40,21.25,21.75,30.87,21.25,21.26,7.19,21.25,21.25,3.88
20,25,20,40,6.15,6.28,39.01,6.15,6.15,3.35,6.15,6.15,2.69
25,15,10,10,5.90,6.00,23.12,5.90,5.90,3.85,5.90,5.90,3.78
25,20,10,10,11.60,12.05,30.17,11.60,11.61,9.44,11.60,11.60,6.58
25,20,15,10,7.60,7.82,28.18,7.60,7.60,9.63,7.60,7.60,6.74
25,25,10,10,16.60,17.06,40.49,16.60,16.67,11.33,16.60,16.67,8.60
25,25,15,10,10.00,10.00,60.06,10.00,10.00,7.60,10.00,10.00,6.21
25,25,20,30,5.50,5.59,72.58,5.50,5.50,6.68,5.50,5.50,5.97
