instance,n_jobs,n_tools,magazine_size,switches,run_time,sequence
cram_10_10_4,10,10,4,8.7,141.4,[]
cram_15_20_6,15,20,6,18.4,157.7,[]
cram_30_40_15,30,40,15,79.9,337.4,[]
cram_40_60_20,40,60,20,141.8,904.6,[]
cram_10_10_5,10,10,5,9.2,126.0,[]
cram_15_20_8,15,20,8,19.6,150.1,[]
cram_30_40_17,30,40,17,77.0,317.8,[]
cram_40_60_22,40,60,22,138.3,872.4,[]
cram_10_10_6,10,10,6,9.7,135.8,[]
cram_15_20_10,15,20,10,19.3,145.7,[]
cram_30_40_20,30,40,20,72.5,333.9,[]
cram_40_60_25,40,60,25,130.5,970.9,[]
cram_10_10_7,10,10,7,9.5,119.0,[]
cram_15_20_12,15,20,12,19.2,178.8,[]
cram_30_40_25,30,40,25,61.2,296.8,[]
cram_40_60_30,40,60,30,119.2,882.3,[]
