instance,n_jobs,n_tools,magazine_size,switches,run_time,run_type,sequence
yan_8_15_10_1,8,15,10,5,8664,BRUTE-F,[]
yan_8_15_10_2,8,15,10,5,8651,BRUTE-F,[]
yan_8_15_10_3,8,15,10,5,8695,BRUTE-F,[]
yan_8_15_10_4,8,15,10,5,9004,BRUTE-F,[]
yan_8_15_10_5,8,15,10,5,9455,BRUTE-F,[]
yan_8_15_10_6,8,15,10,5,9482,BRUTE-F,[]
yan_8_15_10_7,8,15,10,5,8929,BRUTE-F,[]
yan_8_15_10_8,8,15,10,5,9645,BRUTE-F,[]
yan_8_15_10_9,8,15,10,5,8753,BRUTE-F,[]
yan_8_15_10_10,8,15,10,5,9190,BRUTE-F,[]
yan_8_15_10_11,8,15,10,7,9033,BRUTE-F,[]
yan_8_15_10_12,8,15,10,6,9085,BRUTE-F,[]
yan_8_15_10_13,8,15,10,6,8794,BRUTE-F,[]
yan_8_15_10_14,8,15,10,6,8908,BRUTE-F,[]
yan_8_15_10_15,8,15,10,5,9231,BRUTE-F,[]
yan_8_15_10_16,8,15,10,9,10277,BRUTE-F,[]
yan_8_15_10_17,8,15,10,9,8931,BRUTE-F,[]
yan_8_15_10_18,8,15,10,6,8947,BRUTE-F,[]
yan_8_15_10_19,8,15,10,5,8830,BRUTE-F,[]
yan_8_15_10_20,8,15,10,8,9032,BRUTE-F,[]
yan_8_15_10_21,8,15,10,7,8864,BRUTE-F,[]
yan_8_15_10_22,8,15,10,8,8927,BRUTE-F,[]
yan_8_15_10_23,8,15,10,8,8634,BRUTE-F,[]
yan_8_15_10_24,8,15,10,9,8887,BRUTE-F,[]
yan_8_15_10_25,8,15,10,12,8626,BRUTE-F,[]
yan_8_15_10_26,8,15,10,8,9030,BRUTE-F,[]
yan_8_15_10_27,8,15,10,8,9104,BRUTE-F,[]
yan_8_15_10_28,8,15,10,10,8547,BRUTE-F,[]
yan_8_15_10_29,8,15,10,11,8508,BRUTE-F,[]
yan_8_15_10_30,8,15,10,8,8990,BRUTE-F,[]
