instance,n_jobs,n_tools,magazine_size,switches,run_time,sequence
cat_10_10_4,10,10,4,8.4,191.1,[]
cat_15_20_6,15,20,6,17.4,474.4,[]
cat_30_40_15,30,40,15,74.0,643.3,[]
cat_40_60_20,40,60,20,142.4,1377.7,[]
cat_10_10_5,10,10,5,8.9,186.8,[]
cat_15_20_8,15,20,8,17.8,218.6,[]
cat_30_40_17,30,40,17,71.8,525.9,[]
cat_40_60_22,40,60,22,137.2,1802.5,[]
cat_10_10_6,10,10,6,9.2,321.7,[]
cat_15_20_10,15,20,10,18.7,449.1,[]
cat_30_40_20,30,40,20,67.0,1213.8,[]
cat_40_60_25,40,60,25,129.7,2034.9,[]
cat_10_10_7,10,10,7,9.6,494.5,[]
cat_15_20_12,15,20,12,18.6,487.3,[]
cat_30_40_25,30,40,25,58.7,865.2,[]
cat_40_60_30,40,60,30,118.0,1971.6,[]
