instance,n_jobs,n_tools,magazine_size,switches,run_time,run_type,sequence
yan_8_20_5_1,8,20,5,16,9092,BRUTE-C,[]
yan_8_20_5_1,8,20,5,16,11243,BRUTE-D,[]
yan_8_20_5_1,8,20,5,16,3069,SA-A,[]
yan_8_20_5_1,8,20,5,23,157,or_none_none_sw_v1_none_1,[]
yan_8_20_5_2,8,20,5,17,9401,BRUTE-C,[]
yan_8_20_5_2,8,20,5,17,11556,BRUTE-D,[]
yan_8_20_5_2,8,20,5,17,2605,SA-A,[]
yan_8_20_5_2,8,20,5,26,139,or_none_none_sw_v1_none_1,[]
yan_8_20_5_3,8,20,5,19,9199,BRUTE-C,[]
yan_8_20_5_3,8,20,5,19,11100,BRUTE-D,[]
yan_8_20_5_3,8,20,5,19,2342,SA-A,[]
yan_8_20_5_3,8,20,5,31,131,or_none_none_sw_v1_none_1,[]
yan_8_20_5_4,8,20,5,16,10403,BRUTE-C,[]
yan_8_20_5_4,8,20,5,15,10278,BRUTE-D,[]
yan_8_20_5_4,8,20,5,15,2638,SA-A,[]
yan_8_20_5_4,8,20,5,26,128,or_none_none_sw_v1_none_1,[]
yan_8_20_5_5,8,20,5,16,9734,BRUTE-C,[]
yan_8_20_5_5,8,20,5,16,10887,BRUTE-D,[]
yan_8_20_5_5,8,20,5,16,2546,SA-A,[]
yan_8_20_5_5,8,20,5,26,126,or_none_none_sw_v1_none_1,[]
yan_8_20_5_6,8,20,5,17,9168,BRUTE-C,[]
yan_8_20_5_6,8,20,5,17,10725,BRUTE-D,[]
yan_8_20_5_6,8,20,5,17,2386,SA-A,[]
yan_8_20_5_6,8,20,5,24,126,or_none_none_sw_v1_none_1,[]
yan_8_20_5_7,8,20,5,19,8958,BRUTE-C,[]
yan_8_20_5_7,8,20,5,19,10624,BRUTE-D,[]
yan_8_20_5_7,8,20,5,19,2485,SA-A,[]
yan_8_20_5_7,8,20,5,29,135,or_none_none_sw_v1_none_1,[]
yan_8_20_5_8,8,20,5,18,8967,BRUTE-C,[]
yan_8_20_5_8,8,20,5,18,10831,BRUTE-D,[]
yan_8_20_5_8,8,20,5,18,2511,SA-A,[]
yan_8_20_5_8,8,20,5,28,116,or_none_none_sw_v1_none_1,[]
yan_8_20_5_9,8,20,5,16,9440,BRUTE-C,[]
yan_8_20_5_9,8,20,5,16,10466,BRUTE-D,[]
yan_8_20_5_9,8,20,5,16,2485,SA-A,[]
yan_8_20_5_9,8,20,5,24,133,or_none_none_sw_v1_none_1,[]
yan_8_20_5_10,8,20,5,16,8879,BRUTE-C,[]
yan_8_20_5_10,8,20,5,16,11123,BRUTE-D,[]
yan_8_20_5_10,8,20,5,16,2997,SA-A,[]
yan_8_20_5_10,8,20,5,23,117,or_none_none_sw_v1_none_1,[]
