instance,n_jobs,n_tools,magazine_size,switches,run_time,sequence
cat_10_10_4_1,10,10,4,9,700,"[0, 4, 5, 1, 3, 2, 9, 8, 6, 7]"
cat_10_10_4_2,10,10,4,9,700,"[0, 4, 5, 1, 7, 6, 8, 9, 3, 2]"
cat_10_10_4_3,10,10,4,6,700,"[2, 3, 9, 8, 4, 0, 5, 1, 7, 6]"
cat_10_10_4_4,10,10,4,8,700,"[2, 3, 9, 8, 7, 0, 4, 5, 1, 6]"
cat_10_10_4_5,10,10,4,8,700,"[2, 3, 9, 7, 0, 4, 5, 1, 6, 8]"
cat_10_10_4_6,10,10,4,9,700,"[0, 4, 5, 1, 3, 2, 9, 8, 6, 7]"
cat_10_10_4_7,10,10,4,9,700,"[7, 0, 4, 5, 1, 6, 8, 9, 3, 2]"
cat_10_10_4_8,10,10,4,7,700,"[2, 3, 9, 5, 0, 4, 1, 7, 6, 8]"
cat_10_10_4_9,10,10,4,9,700,"[0, 4, 5, 1, 7, 6, 8, 9, 3, 2]"
cat_10_10_4_10,10,10,4,10,700,"[2, 6, 0, 4, 5, 1, 7, 8, 9, 3]"
