instance,n_jobs,n_tools,magazine_size,switches,run_time,sequence
cat_10_10_4_1,10,10,4,18,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
cat_10_10_4_2,10,10,4,15,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
cat_10_10_4_3,10,10,4,19,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
cat_10_10_4_4,10,10,4,19,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
cat_10_10_4_5,10,10,4,20,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
cat_10_10_4_6,10,10,4,18,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
cat_10_10_4_7,10,10,4,19,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
cat_10_10_4_8,10,10,4,17,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
cat_10_10_4_9,10,10,4,21,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
cat_10_10_4_10,10,10,4,20,700,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
