instance,n_jobs,n_tools,magazine_size,switches,run_time,sequence
cram_10_10_4,10,10,4,8.7,182.7,[]
cram_15_20_6,15,20,6,18.4,245.9,[]
cram_30_40_15,30,40,15,79.9,583.5,[]
cram_40_60_20,40,60,20,141.8,1377.8,[]
cram_10_10_5,10,10,5,9.2,194.8,[]
cram_15_20_8,15,20,8,19.6,234.3,[]
cram_30_40_17,30,40,17,77.0,568.4,[]
cram_40_60_22,40,60,22,138.3,1398.0,[]
cram_10_10_6,10,10,6,9.7,187.7,[]
cram_15_20_10,15,20,10,19.3,232.4,[]
cram_30_40_20,30,40,20,72.5,563.7,[]
cram_40_60_25,40,60,25,130.5,1490.8,[]
cram_10_10_7,10,10,7,9.5,185.0,[]
cram_15_20_12,15,20,12,19.2,237.1,[]
cram_30_40_25,30,40,25,61.2,516.0,[]
cram_40_60_30,40,60,30,119.2,1628.1,[]
