instance,n_jobs,n_tools,magazine_size,switches,run_time,sequence
mec_50_75_25,50,75,25,218.4,2953.4,[]
mec_60_90_35,60,90,35,339.2,4768.2,[]
mec_70_105_40,70,105,40,457.2,11410.0,[]
mec_50_75_30,50,75,30,202.0,2714.2,[]
mec_60_90_40,60,90,40,311.6,4625.2,[]
mec_70_105_45,70,105,45,425.2,9678.8,[]
mec_50_75_35,50,75,35,183.4,3494.4,[]
mec_60_90_45,60,90,45,283.8,5232.4,[]
mec_70_105_50,70,105,50,394.4,11259.4,[]
mec_50_75_40,50,75,40,168.2,2973.6,[]
mec_60_90_50,60,90,50,258.6,5316.8,[]
mec_70_105_55,70,105,55,360.0,10265.0,[]
