author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,ORDERED-SD,9.9,9.9,1.492,10,7.2,0.6,-37.5,-148.633
cat,15,20,12,RANDOM-SA-SWAP-SW-SEED7,7.2,7.2,7.403,10,7.2,0.6,0.0,-1133.767
cat,15,20,12,RANDOM-SA-SWAP-SW-SEEDNO,7.2,7.2,12.632,10,7.2,0.6,0.0,-2005.3
cat,15,20,12,RANDOM-SD,9.2,9.2,1.467,10,7.2,0.6,-27.778,-144.517
cat,15,20,12,TOOLSEQ-SD,7.7,7.7,1.514,10,7.2,0.6,-6.944,-152.267
cat,30,40,17,ORDERED-SD,99.8,99.8,2.57,10,65.43,71.77,-52.529,96.419
cat,30,40,17,RANDOM-SA-SWAP-SW-SEED7,77.2,77.2,28.876,10,65.43,71.77,-17.989,59.765
cat,30,40,17,RANDOM-SA-SWAP-SW-SEEDNO,74.6,76.76,54.416,10,65.43,71.77,-14.015,24.18
cat,30,40,17,RANDOM-SD,98.5,98.5,2.656,10,65.43,71.77,-50.543,96.299
cat,30,40,17,TEST,93.0,93.0,4.424,10,65.43,71.77,-42.137,93.836
cat,30,40,17,TOOLSEQ-SD,88.3,88.3,2.115,10,65.43,71.77,-34.953,97.053
cat,40,60,30,ORDERED-SD,143.6,143.6,3.119,10,84.66,484.14,-69.62,99.356
cat,40,60,30,RANDOM-SA-SWAP-SW-SEED7,104.9,104.9,66.803,10,84.66,484.14,-23.907,86.202
cat,40,60,30,RANDOM-SA-SWAP-SW-SEEDNO,103.2,104.2,111.852,10,84.66,484.14,-21.899,76.897
cat,40,60,30,RANDOM-SD,143.6,143.6,3.161,10,84.66,484.14,-69.62,99.347
cat,40,60,30,TOOLSEQ-SD,119.9,119.9,3.43,10,84.66,484.14,-41.625,99.292
cram,30,40,25,ORDERED-SD,52.8,52.8,1.793,10,27.7,62.61,-90.614,97.136
cram,30,40,25,RANDOM-SA-SWAP-SW-SEED7,35.0,35.0,29.175,10,27.7,62.61,-26.354,53.402
cram,30,40,25,RANDOM-SA-SWAP-SW-SEEDNO,33.9,34.8,50.405,10,27.7,62.61,-22.383,19.494
cram,30,40,25,RANDOM-SD,52.6,52.6,1.852,10,27.7,62.61,-89.892,97.042
cram,30,40,25,TOOLSEQ-SD,40.1,40.1,1.961,10,27.7,62.61,-44.765,96.868
yan,8,15,10,ORDERED-SD,7.933,7.933,1.159,30,6.83,0.04,-16.154,-2796.75
yan,8,15,10,RANDOM-SA-SWAP-SW-SEED7,6.833,6.833,5.283,30,6.83,0.04,-0.049,-13107.833
yan,8,15,10,RANDOM-SA-SWAP-SW-SEEDNO,6.833,6.833,9.556,30,6.83,0.04,-0.049,-23791.0
yan,8,15,10,RANDOM-SD,7.8,7.8,1.164,30,6.83,0.04,-14.202,-2809.167
yan,8,15,10,TEST,15.0,15.0,0.34,30,6.83,0.04,-119.619,-750.0
yan,8,15,10,TOOLSEQ-SD,7.467,7.467,1.226,30,6.83,0.04,-9.322,-2965.917
