author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,ORDERED-SD,9.9,9.9,0.9838000000000001,10,7.2,0.6,-37.5,-63.96666666666668
cat,15,20,12,RANDOM-SD,9.2,9.2,1.0328,10,7.2,0.6,-27.777777777777768,-72.13333333333334
cat,15,20,12,TOOLSEQ-SD,9.2,9.2,1.0093,10,7.2,0.6,-27.777777777777768,-68.21666666666668
cat,30,40,17,ORDERED-SD,99.8,99.8,1.8272000000000002,10,65.43,71.77,-52.52942075500533,97.45408945241745
cat,30,40,17,RANDOM-SD,98.5,98.5,1.9454,10,65.43,71.77,-50.54256457282591,97.2893966838512
cat,30,40,17,TOOLSEQ-SD,98.5,98.5,1.9157,10,65.43,71.77,-50.54256457282591,97.3307788769681
cat,40,60,30,ORDERED-SD,143.6,143.6,1.9754999999999998,10,84.66,484.14,-69.61965509095205,99.59195687197918
cat,40,60,30,RANDOM-SD,143.6,143.6,1.9751,10,84.66,484.14,-69.61965509095205,99.59203949270872
cat,40,60,30,TOOLSEQ-SD,143.6,143.6,1.9697,10,84.66,484.14,-69.61965509095205,99.59315487255752
cram,30,40,25,ORDERED-SD,52.8,52.8,1.3565,10,27.7,62.61,-90.61371841155234,97.83341319278071
cram,30,40,25,RANDOM-SD,52.6,52.6,1.3938,10,27.7,62.61,-89.89169675090254,97.77383804504073
cram,30,40,25,TOOLSEQ-SD,52.6,52.6,1.3252000000000002,10,27.7,62.61,-89.89169675090254,97.88340520683597
yan,8,15,10,ORDERED-SD,7.933333333333334,7.9333333333333345,0.9902,30,6.83,0.04,-16.154221571498283,-2375.5
yan,8,15,10,RANDOM-SD,7.8,7.8,0.9841333333333331,30,6.83,0.04,-14.202049780380666,-2360.333333333333
yan,8,15,10,TOOLSEQ-SD,7.8,7.8,1.0026,30,6.83,0.04,-14.202049780380666,-2406.5
