author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_ILS,Avg_ILS,T_ILS,Best_DQGA,Avg_DQGA,T_DQGA,Best_HGS,Avg_HGS,T_HGS,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,BASE,7.2,7.2,22.0,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-3566.38
cat,15,20,12,ORD,8.0,8.0,0.85,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,-11.11,-41.12
cat,15,20,12,RAN,7.7,8.0,0.84,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,-6.94,-40.4
cat,15,20,12,SA,7.2,7.2,2.78,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-363.82
cat,15,20,12,SD,7.2,7.2,0.83,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-38.35
cat,15,20,12,SMRI-A,7.2,7.2,18.68,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-3012.87
cat,15,20,12,SMRI-BC,7.2,7.2,15.76,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-2526.2
cat,15,20,12,SW,7.2,7.2,2.59,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-331.68
cat,15,20,12,SWAP,7.2,7.2,2.71,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-352.43
cat,15,20,12,TIE,7.2,7.2,1.44,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-139.43
cat,15,20,12,TIE-BABY,7.2,7.2,21.9,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-3549.4
cat,15,20,12,TSEQ,7.2,7.2,0.85,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6,7.2,0.6,0.0,-41.32
cat,30,40,17,BASE,67.6,68.4,294.59,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-3.32,-310.47
cat,30,40,17,ORD,80.0,80.0,1.32,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-22.27,98.16
cat,30,40,17,RAN,78.5,78.9,1.4,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-19.98,98.05
cat,30,40,17,SA,75.4,76.63,13.66,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-15.24,80.96
cat,30,40,17,SD,75.7,76.37,1.31,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-15.7,98.17
cat,30,40,17,SMRI-A,67.4,67.63,305.61,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-3.01,-325.82
cat,30,40,17,SMRI-BC,67.0,67.1,293.67,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-2.4,-309.18
cat,30,40,17,SW,76.5,77.6,13.68,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-16.92,80.93
cat,30,40,17,SWAP,74.2,75.2,13.87,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-13.4,80.67
cat,30,40,17,TIE,79.9,81.5,2.23,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-22.12,96.89
cat,30,40,17,TIE-BABY,68.9,70.01,295.36,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-5.3,-311.54
cat,30,40,17,TSEQ,76.9,77.1,1.3,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-17.53,98.18
cat,40,60,30,BASE,90.5,90.87,346.07,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-6.9,28.52
cat,40,60,30,ORD,105.5,105.5,2.26,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-24.62,99.53
cat,40,60,30,RAN,107.6,108.63,2.13,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-27.1,99.56
cat,40,60,30,SA,99.9,102.33,39.03,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-18.0,91.94
cat,40,60,30,SD,102.3,103.93,1.8,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-20.84,99.63
cat,40,60,30,SMRI-A,92.7,92.73,346.36,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-9.5,28.46
cat,40,60,30,SMRI-BC,91.0,91.6,319.38,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-7.49,34.03
cat,40,60,30,SW,102.1,102.73,38.67,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-20.6,92.01
cat,40,60,30,SWAP,103.0,103.6,38.6,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-21.66,92.03
cat,40,60,30,TIE,108.6,108.73,4.27,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-28.28,99.12
cat,40,60,30,TSEQ,103.4,104.2,1.89,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-22.14,99.61
cram,30,40,25,BASE,29.3,29.37,252.14,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-5.78,-302.71
cram,30,40,25,ORD,38.5,38.5,1.34,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-38.99,97.85
cram,30,40,25,RAN,37.2,37.93,1.4,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-34.3,97.77
cram,30,40,25,SA,33.9,34.1,15.8,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-22.38,74.76
cram,30,40,25,SD,34.7,35.07,1.26,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-25.27,97.98
cram,30,40,25,SMRI-A,29.9,30.03,299.07,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-7.94,-377.67
cram,30,40,25,SMRI-BC,29.6,29.7,291.28,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-6.86,-365.23
cram,30,40,25,SW,34.0,34.33,15.54,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-22.74,75.18
cram,30,40,25,SWAP,34.1,35.03,15.55,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-23.1,75.16
cram,30,40,25,TIE,34.3,35.0,2.58,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-23.83,95.89
cram,30,40,25,TIE-BABY,29.3,29.35,292.37,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-5.78,-366.97
cram,30,40,25,TSEQ,34.7,34.97,1.3,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61,27.7,62.61,-25.27,97.93
yan,8,15,10,BASE,6.83,6.83,7.01,30,6.83,6.83,2.91,6.83,6.83,0.07,6.83,6.83,0.04,6.83,0.04,-0.05,-17415.33
yan,8,15,10,ORD,7.57,7.57,1.06,30,6.83,6.83,2.91,6.83,6.83,0.07,6.83,6.83,0.04,6.83,0.04,-10.79,-2549.17
