instance,run_type,run,n_jobs,n_tools,magazine_size,variation,n_switches,run_time,author
yan_8_15_10_1,TOOLSEQ-SD,0,8,15,10,1,5,0.957,yan
yan_8_15_10_1,TOOLSEQ-SD,1,8,15,10,1,5,1.147,yan
yan_8_15_10_1,TOOLSEQ-SD,3,8,15,10,1,5,1.123,yan
yan_8_15_10_1,TOOLSEQ-SD,2,8,15,10,1,5,1.207,yan
yan_8_15_10_1,TOOLSEQ-SD,4,8,15,10,1,5,1.136,yan
yan_8_15_10_1,ORDERED-SD,4,8,15,10,1,5,1.036,yan
yan_8_15_10_1,ORDERED-SD,0,8,15,10,1,5,0.905,yan
yan_8_15_10_1,ORDERED-SD,1,8,15,10,1,5,1.053,yan
yan_8_15_10_1,ORDERED-SD,3,8,15,10,1,5,1.049,yan
yan_8_15_10_1,ORDERED-SD,2,8,15,10,1,5,1.076,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEED7,2,8,15,10,1,5,1.867,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEED7,3,8,15,10,1,5,1.753,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEED7,1,8,15,10,1,5,1.746,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEED7,0,8,15,10,1,5,1.811,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEED7,4,8,15,10,1,5,1.769,yan
yan_8_15_10_1,RANDOM-SD,4,8,15,10,1,5,1.087,yan
yan_8_15_10_1,RANDOM-SD,2,8,15,10,1,5,1.069,yan
yan_8_15_10_1,RANDOM-SD,3,8,15,10,1,5,1.062,yan
yan_8_15_10_1,RANDOM-SD,1,8,15,10,1,5,1.037,yan
yan_8_15_10_1,RANDOM-SD,0,8,15,10,1,5,0.899,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEEDNO,1,8,15,10,1,5,3.295,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEEDNO,0,8,15,10,1,5,3.465,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEEDNO,2,8,15,10,1,5,3.436,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEEDNO,3,8,15,10,1,5,3.211,yan
yan_8_15_10_1,RANDOM-SA-SWAP-SW-SEEDNO,4,8,15,10,1,5,3.439,yan
yan_8_15_10_2,TOOLSEQ-SD,0,8,15,10,2,5,1.005,yan
yan_8_15_10_2,TOOLSEQ-SD,1,8,15,10,2,5,1.2,yan
yan_8_15_10_2,TOOLSEQ-SD,3,8,15,10,2,5,1.28,yan
yan_8_15_10_2,TOOLSEQ-SD,2,8,15,10,2,5,1.172,yan
yan_8_15_10_2,TOOLSEQ-SD,4,8,15,10,2,5,1.323,yan
yan_8_15_10_2,ORDERED-SD,4,8,15,10,2,5,1.105,yan
yan_8_15_10_2,ORDERED-SD,0,8,15,10,2,5,0.894,yan
yan_8_15_10_2,ORDERED-SD,1,8,15,10,2,5,1.126,yan
yan_8_15_10_2,ORDERED-SD,3,8,15,10,2,5,1.103,yan
yan_8_15_10_2,ORDERED-SD,2,8,15,10,2,5,1.102,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEED7,2,8,15,10,2,5,1.779,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEED7,3,8,15,10,2,5,1.656,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEED7,1,8,15,10,2,5,1.747,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEED7,0,8,15,10,2,5,1.801,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEED7,4,8,15,10,2,5,1.814,yan
yan_8_15_10_2,RANDOM-SD,4,8,15,10,2,5,1.071,yan
yan_8_15_10_2,RANDOM-SD,2,8,15,10,2,5,1.206,yan
yan_8_15_10_2,RANDOM-SD,3,8,15,10,2,5,1.085,yan
yan_8_15_10_2,RANDOM-SD,1,8,15,10,2,5,1.182,yan
yan_8_15_10_2,RANDOM-SD,0,8,15,10,2,5,0.878,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEEDNO,1,8,15,10,2,5,3.499,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEEDNO,0,8,15,10,2,5,3.42,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEEDNO,2,8,15,10,2,5,3.471,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEEDNO,3,8,15,10,2,5,3.565,yan
yan_8_15_10_2,RANDOM-SA-SWAP-SW-SEEDNO,4,8,15,10,2,5,3.443,yan
yan_8_15_10_3,TOOLSEQ-SD,0,8,15,10,3,5,1.084,yan
yan_8_15_10_3,TOOLSEQ-SD,1,8,15,10,3,5,1.072,yan
yan_8_15_10_3,TOOLSEQ-SD,3,8,15,10,3,5,1.092,yan
yan_8_15_10_3,TOOLSEQ-SD,2,8,15,10,3,5,1.006,yan
yan_8_15_10_3,TOOLSEQ-SD,4,8,15,10,3,5,1.003,yan
yan_8_15_10_3,ORDERED-SD,4,8,15,10,3,5,1.081,yan
yan_8_15_10_3,ORDERED-SD,0,8,15,10,3,5,0.989,yan
yan_8_15_10_3,ORDERED-SD,1,8,15,10,3,5,1.055,yan
yan_8_15_10_3,ORDERED-SD,3,8,15,10,3,5,1.036,yan
yan_8_15_10_3,ORDERED-SD,2,8,15,10,3,5,1.006,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEED7,2,8,15,10,3,5,1.865,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEED7,3,8,15,10,3,5,1.863,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEED7,1,8,15,10,3,5,1.857,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEED7,0,8,15,10,3,5,1.812,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEED7,4,8,15,10,3,5,1.77,yan
yan_8_15_10_3,RANDOM-SD,4,8,15,10,3,5,1.043,yan
yan_8_15_10_3,RANDOM-SD,2,8,15,10,3,5,1.07,yan
yan_8_15_10_3,RANDOM-SD,3,8,15,10,3,5,1.012,yan
yan_8_15_10_3,RANDOM-SD,1,8,15,10,3,5,0.989,yan
yan_8_15_10_3,RANDOM-SD,0,8,15,10,3,5,0.957,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEEDNO,1,8,15,10,3,5,3.194,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEEDNO,0,8,15,10,3,5,3.429,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEEDNO,2,8,15,10,3,5,3.451,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEEDNO,3,8,15,10,3,5,3.774,yan
yan_8_15_10_3,RANDOM-SA-SWAP-SW-SEEDNO,4,8,15,10,3,5,3.432,yan
yan_8_15_10_4,TOOLSEQ-SD,0,8,15,10,4,5,0.993,yan
yan_8_15_10_4,TOOLSEQ-SD,1,8,15,10,4,5,1.183,yan
yan_8_15_10_4,TOOLSEQ-SD,3,8,15,10,4,5,1.13,yan
yan_8_15_10_4,TOOLSEQ-SD,2,8,15,10,4,5,1.189,yan
yan_8_15_10_4,TOOLSEQ-SD,4,8,15,10,4,5,1.155,yan
yan_8_15_10_4,ORDERED-SD,4,8,15,10,4,5,1.063,yan
yan_8_15_10_4,ORDERED-SD,0,8,15,10,4,5,0.949,yan
yan_8_15_10_4,ORDERED-SD,1,8,15,10,4,5,0.953,yan
yan_8_15_10_4,ORDERED-SD,3,8,15,10,4,5,1.075,yan
yan_8_15_10_4,ORDERED-SD,2,8,15,10,4,5,0.994,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEED7,2,8,15,10,4,5,1.769,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEED7,3,8,15,10,4,5,1.752,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEED7,1,8,15,10,4,5,1.793,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEED7,0,8,15,10,4,5,1.935,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEED7,4,8,15,10,4,5,1.765,yan
yan_8_15_10_4,RANDOM-SD,4,8,15,10,4,5,1.002,yan
yan_8_15_10_4,RANDOM-SD,2,8,15,10,4,5,1.068,yan
yan_8_15_10_4,RANDOM-SD,3,8,15,10,4,5,0.967,yan
yan_8_15_10_4,RANDOM-SD,1,8,15,10,4,5,1.025,yan
yan_8_15_10_4,RANDOM-SD,0,8,15,10,4,5,0.969,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEEDNO,1,8,15,10,4,5,3.345,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEEDNO,0,8,15,10,4,5,3.834,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEEDNO,2,8,15,10,4,5,3.514,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEEDNO,3,8,15,10,4,5,3.402,yan
yan_8_15_10_4,RANDOM-SA-SWAP-SW-SEEDNO,4,8,15,10,4,5,3.236,yan
yan_8_15_10_5,TOOLSEQ-SD,0,8,15,10,5,5,1.045,yan
yan_8_15_10_5,TOOLSEQ-SD,1,8,15,10,5,5,1.247,yan
yan_8_15_10_5,TOOLSEQ-SD,3,8,15,10,5,5,1.148,yan
yan_8_15_10_5,TOOLSEQ-SD,2,8,15,10,5,5,1.138,yan
yan_8_15_10_5,TOOLSEQ-SD,4,8,15,10,5,5,1.077,yan
yan_8_15_10_5,ORDERED-SD,4,8,15,10,5,5,1.197,yan
yan_8_15_10_5,ORDERED-SD,0,8,15,10,5,5,0.865,yan
yan_8_15_10_5,ORDERED-SD,1,8,15,10,5,5,1.184,yan
yan_8_15_10_5,ORDERED-SD,3,8,15,10,5,5,1.158,yan
yan_8_15_10_5,ORDERED-SD,2,8,15,10,5,5,1.137,yan
yan_8_15_10_5,RANDOM-SA-SWAP-SW-SEED7,2,8,15,10,5,5,1.891,yan
yan_8_15_10_5,RANDOM-SA-SWAP-SW-SEED7,3,8,15,10,5,5,1.821,yan
yan_8_15_10_5,RANDOM-SA-SWAP-SW-SEED7,1,8,15,10,5,5,1.751,yan
yan_8_15_10_5,RANDOM-SA-SWAP-SW-SEED7,0,8,15,10,5,5,1.785,yan
yan_8_15_10_5,RANDOM-SA-SWAP-SW-SEED7,4,8,15,10,5,5,1.809,yan
yan_8_15_10_5,RANDOM-SD,4,8,15,10,5,5,1.216,yan
yan_8_15_10_5,RANDOM-SD,2,8,15,10,5,5,1.082,yan
yan_8_15_10_5,RANDOM-SD,3,8,15,10,5,5,1.309,yan
yan_8_15_10_5,RANDOM-SD,1,8,15,10,5,5,1.205,yan
yan_8_15_10_5,RANDOM-SD,0,8,15,10,5,5,0.951,yan
yan_8_15_10_5,RANDOM-SA-SWAP-SW-SEEDNO,1,8,15,10,5,5,3.439,yan
yan_8_15_10_5,RANDOM-SA-SWAP-SW-SEEDNO,0,8,15,10,5,5,3.304,yan
yan_8_15_10_5,RANDOM-SA-SWAP-SW-SEEDNO,2,8,15,10,5,5,3.235,yan
yan_8_15_10_5,RANDOM-SA-SWAP-SW-SEEDNO,3,8,15,10,5,5,3.197,yan
